index_x,Country Code,Port Location,Port Name,Port Authority,Address,Phone,Fax,800 Number,Email,Web Site,Latitude,Longitude,UN/LOCODE,Port Type,Port Size,index_y,Country
1880,HTI,Gonaives,Port of Gonaives,Autorite Portuaire Nationale,"Rue 18 Blvd du Front-de-Mer
Cap Haitien
Haiti",509 262-2100,509 262-9100,,apncap@apn.gouv.ht,www.apn.gouv.ht,"19° 26' 54"" N","72° 42' 21"" W",HTGVS,Harbor,Small,,
1881,HTI,Jacmel,Port of Jacmel,Autorite Portuaire Nationale,"Blvd, La Saline
PO Box 616
Port-au-Prince
Haiti",509 223-2442,,,apnpap@apn.gouv.ht,www.apn.gouv.ht,"18° 13' 52"" N","72° 32' 8"" W",HTJAK,"Pier, Jetty or Wharf",Small,,
1882,HTI,Jeremie,Port of Jeremie,Autorite Portuaire Nationale,"Blvd, La Saline
PO Box 616
Port-au-Prince
Haiti",509 223-2442,,,apnpap@apn.gouv.ht,www.apn.gouv.ht,"18° 38' 37"" N","74° 6' 40"" W",HTJEE,Harbor,Small,,
1883,HTI,Les Cayes,Port of Les Cayes,Autorite Portuaire Nationale,"Rue 18 Blvd du Front-de-Mer
Cap Haitien
Haiti",509 262-2100,509 262-9100,,apncap@apn.gouv.ht,www.apn.gouv.ht,"18° 11' 23"" N","73° 44' 54"" W",HTACA,"Pier, Jetty or Wharf",Very Small,,
1884,HTI,Miragoane,Port of Miragoane,Autorite Portuaire Nationale,"Blvd, La Saline
PO Box 616
Port-au-Prince
Haiti",509 223-2442,,,apnpap@apn.gouv.ht,www.apn.gouv.ht,"18° 27' 0"" N","73° 6' 25"" W",HTMIR,"Pier, Jetty or Wharf",Very Small,,
1885,HTI,Petit Goave,Port of Petit Goave,Autorite Portuaire Nationale,"Rue 18 Blvd du Front-de-Mer
Cap Haitien
Haiti",509 262-2100,509 262-9100,,apncap@apn.gouv.ht,www.apn.gouv.ht,"18° 25' 51"" N","72° 52' 12"" W",HTPEG,"Pier, Jetty or Wharf",Very Small,,
1886,HTI,Port de Paix,Port of Port de Paix,Autorite Portuaire Nationale,"Rue 18 Blvd du Front-de-Mer
Cap Haitien
Haiti",509 262-2100,509 262-9100,,apncap@apn.gouv.ht,www.apn.gouv.ht,"19° 56' 35"" N","72° 50' 0"" W",HTPDP,Harbor,Small,,
1887,HTI,Port-au-Prince,Port of Port-au-Prince,Autorite Portuaire Nationale,"Blvd, La Saline
PO Box 616
Port-au-Prince
Haiti",509 223-2440,509 221-3479,,apnpap@apn.gouv.ht,www.apn.gouv.ht,"18° 33' 57"" N","72° 20' 36"" W",HTPAP,Seaport,Small,,
1888,HTI,Saint Marc,Port of Saint Marc,Autorite Portuaire Nationale,"Blvd, La Saline
PO Box 616
Port-au-Prince
Haiti",509 223-2442,,,apnpap@apn.gouv.ht,www.apn.gouv.ht,"19° 6' 34"" N","72° 42' 10"" W",,"Pier, Jetty or Wharf",Small,,
1889,HND,Coxen Hole,Port of Coxen Hole,Empresa Nacional Portuaria,"Coxen Hole
Honduras",504 434 4902,504 434 4448,,,www.enp.hn,"16° 18' 45"" N","86° 32' 21"" W",,Harbor,Small,,
1890,HND,La Ceiba,Port of La Ceiba,Empresa Nacional Portuaria,"Puerto Castilla, Colon
Honduras",(504) 441-9445,(504) 441-9445,,,www.enp.hn,"15° 47' 20"" N","86° 47' 43"" W",HNLCE,"Pier, Jetty or Wharf",Small,,
1891,HND,Puerto Castilla,Port of Puerto Castilla,Empresa Nacional Portuaria,"Puerto Castilla, Colon
Honduras",(504) 429-8013,(504) 429-8013,,,www.enp.hn,"16° 0' 17"" N","85° 58' 24"" W",HNPCA,Harbor,Small,,
1892,HND,Puerto Cortes,Port of Puerto Cortes,Empresa Nacional Portuaria,"Puerto Castilla, Colon
Honduras",(504) 665-0192,(504) 665-0968,,supciaco@enp.hn,www.enp.hn,"15° 50' 0"" N","87° 56' 39"" W",HNPCR,Seaport,Small,,
1893,HND,San Lorenzo,Port of San Lorenzo,Empresa Nacional Portuaria,"Puerto Castilla, Colon
Honduras",(504) 781-5142,(504) 781-4142,,supciasanlo@enp.hn,www.enp.hn,"13° 24' 8"" N","87° 25' 30"" W",HNSLO,"Pier, Jetty or Wharf",Very Small,,
1894,HND,Tela,Port of Tela,Empresa Nacional Portuaria,"Puerto Castilla, Colon
Honduras",504 434 4902,504 434 4448,,,www.enp.hn,"15° 47' 2"" N","87° 27' 33"" W",HNTEA,"Pier, Jetty or Wharf",Small,,
1904,ISL,Akranes,Port of Akranes,,"Akranes
Iceland",893-1110,431-1132,,vog1@simnet.is,,"64° 18' 51"" N","22° 4' 53"" W",ISAKR,Harbor,Small,,
1905,ISL,Akureyri,Port of Akureyri,,"Fiskitangi
600 Akureyri
Akureyri
Iceland",+354 460 4200,+354 460 4209,,petur@port.is,www.port.is,"65° 41' 27"" N","18° 5' 20"" W",ISAKU,Harbor,Small,,
1906,ISL,Arnarstapi,Port of Arnarstapi,,"Arnarstapi
Iceland",,,,,,"64° 46' 14"" N","23° 37' 11"" W",,Harbor,Very Small,,
1907,ISL,Bakkafjordur,Port of Bakkafjordur,,"Bakkafjordur
Iceland",,,,,www.langanesbyggd.is,"66° 1' 17"" N","14° 49' 30"" W",,Harbor,Very Small,,
1908,ISL,Bildudalur,Port of Bildudalur,,"Bildudalur
Iceland",,,,,,"65° 41' 3"" N","23° 36' 3"" W",,Harbor,Small,,
1909,ISL,Blonduos,Port of Blonduos,,"Blonduos
Iceland",,,,,blonduos.is,"65° 40' 11"" N","20° 17' 46"" W",,Harbor,Very Small,,
1910,ISL,Bolungarvik,Port of Bolungarvik,,"Bolungarvik
Iceland",,,,,www.bolungarvik.is,"66° 9' 24"" N","23° 14' 42"" W",,Harbor,Small,,
1911,ISL,Borgarfjordur Eystri,Port of Borgarfjordur Eystri,,"Borgarfjordur Eystri
Iceland",,,,,www.borgarfjordureystri.is,"65° 31' 41"" N","13° 48' 49"" W",,"Pier, Jetty or Wharf",Very Small,,
1912,ISL,Borgarnes,Port of Borgarnes,,"Borgarnes
Iceland",,,,,,"64° 32' 1"" N","21° 55' 52"" W",,"Pier, Jetty or Wharf",Very Small,,
1913,ISL,Breiddalsvik,Port of Breiddalsvik,,"Breiddalsvik
Iceland",,,,,,"64° 47' 11"" N","14° 0' 28"" W",,Harbor,Very Small,,
1914,ISL,Budardalur,Port of Budardalur,,"Budardalur
Iceland",,,,,,"65° 6' 39"" N","21° 46' 22"" W",,Harbor,Very Small,,
1915,ISL,Dalvik,Port of Dalvik,Dalvik Port Authority,"Port Office
Radhusinu
Dalvik 602
Iceland",466-1373,466-1063,,hsed@hse.is,,"65° 58' 24"" N","18° 31' 36"" W",ISDAL,Harbor,Very Small,,
1916,ISL,Djupivogur,Port of Djupivogur,Djupivogur Port Authority,"Port Office
Djupivogur 750
Iceland",478 8288,478 8188,,djupivogur@djupivogur.is,www.djupivogur.is,"64° 39' 38"" N","14° 17' 18"" W",ISDJU,Harbor,Small,,
1917,ISL,Drangsnes,Port of Drangsnes,,"Drangsnes
Iceland",,,,,www.drangsnes.is,"65° 41' 24"" N","21° 30' 9"" W",,Harbor,Very Small,,
1918,ISL,Eskifjordur,Port of Eskifjordur,Hafnarstjorn Eskifjardar,"Eskifjordur
Iceland",476-1199,476-1597,,ehofn@fjardabyggd.is,,"65° 4' 17"" N","14° 1' 20"" W",,Harbor,Small,,
1919,ISL,Eyrarbakki,Port of Eyrarbakki,,"Eyrarbakki
Iceland",,,,,eyrarbakki.is,"63° 51' 53"" N","21° 9' 59"" W",,"Pier, Jetty or Wharf",Very Small,,
1920,ISL,Faskrudsfjordur,Port of Faskrudsfjordur,Hafnarsfjodur Budahrepps,"Faskrudsfjordur
Iceland",475-1323,475-1459,,hofnfas@austurbyggd.is,,"64° 55' 47"" N","14° 0' 50"" W",ISFAS,Harbor,Small,,
1921,ISL,Flateyri,Port of Flateyri,,"Flateyri
Iceland",,,,,,"66° 2' 54"" N","23° 30' 36"" W",,Harbor,Small,,
1922,ISL,Gardur,Port of Gardur,,"Gardur
Iceland",,,,,svgardur.is,"64° 4' 29"" N","22° 38' 39"" W",,"Pier, Jetty or Wharf",Very Small,,
1923,ISL,Grenivik,Port of Grenivik,Grenivik Port Authority,"Grenivik
Iceland",892-5033,463-3293,,,,"65° 57' 8"" N","18° 11' 3"" W",ISGRE,Harbor,Very Small,,
1924,ISL,Grindavik,Port of Grindavik,Grindavik Port Authority,"Grindavik
Iceland",426-8046,426-7435,,hofnin@grindavik.is,www.grindavik.is,"63° 50' 21"" N","22° 25' 29"" W",ISGRI,Harbor,Small,,
1925,ISL,Grundarfjordur,Port of Grundarfjordur,Grundarfjordur Port Authority,"Grundarfjardurhofn
Grundargotu 30
Grundarfjordur 350
Iceland",438-6705,438-6641,,hofn@grundarfjordur.is,www.grundarfjordur.is,"64° 55' 27"" N","23° 15' 10"" W",ISGRF,Harbor,Small,,
1926,ISL,Grundartangi,Port of Grundartangi,,"Grundartangi
Iceland",,,,,,"64° 21' 26"" N","21° 46' 41"" W",ISGRT,"Pier, Jetty or Wharf",Very Small,,
1927,ISL,Hafnarfjordur,Port of Hafnarfjordur,Hafnarfjordur Port Authority,"Oseyrarbraut 4
Hafnarfjordur IS-220
Iceland",354  414 2300,354  414 2301,,port@hafnarfjordur.is,www.hafnarfjardarhofn.is,"64° 4' 8"" N","21° 58' 28"" W",ISHAF,Harbor,Small,,
1928,ISL,Hafnir,Port of Hafnir,,"Hafnir
Iceland",,,,,,"63° 56' 15"" N","22° 41' 4"" W",,River Port,Very Small,,
1929,ISL,Hauganes,Port of Hauganes,,"Hauganes
Iceland",,,,,,"65° 55' 21"" N","18° 18' 1"" W",,Harbor,Very Small,,
1930,ISL,Helguvik,Port of Helguvik,Port of Keflavik-Njardvik-Helguvik (PKN),"Vikurbraut 11
Keflavik IS-230
Iceland",354 421 4575,354 421 2666,,,,"64° 1' 23"" N","22° 33' 25"" W",,"Pier, Jetty or Wharf",Very Small,,
1931,ISL,Hjalteyri,Port of Hjalteyri,,"Hjalteyri
Iceland",,,,,,"65° 50' 57"" N","18° 11' 43"" W",,Harbor,Small,,
1932,ISL,Hofsos,Port of Hofsos,,"Hofsos
Iceland",,,,,www.hofsos.is,"65° 53' 54"" N","19° 25' 15"" W",,Harbor,Very Small,,
1933,ISL,Holmavik,Port of Holmavik,,"Holmavik
Iceland",,,,,,"65° 42' 19"" N","21° 40' 2"" W",,Harbor,Very Small,,
1934,ISL,Hornafjordur,Port of Hornafjordur,Hornafjordur Port Authority,"Hafnarbraut 23
Hornafjordur 780
Iceland",478-1474,478-2074,,hofnin@hornafjordur.is,www.hornafjordur.is,"64° 15' 13"" N","15° 12' 13"" W",,Harbor,Very Small,,
1935,ISL,Husavik,Port of Husavik,Husavik Port Authority,"Ketilsbraut 7-9
Husavik
Iceland",464-1575,464-2275,,port@husvik.is,,"66° 2' 47"" N","17° 21' 3"" W",,Harbor,Small,,
1936,ISL,Hvammstangi,Port of Hvammstangi,Hvammstangi Port Authority,"Port Office
Hvammstangi
Iceland",451-2753,451-2307,,,,"65° 23' 41"" N","20° 56' 51"" W",ISHVM,Harbor,Small,,
1937,ISL,Isafjordur,Port of Isafjordur,Isafjordur Port Authority,"Isafjordur Harbour Office
Isafjordur 400
Iceland",456-3295,456-4523,,hofn@isafjordur.is,www.isafjordur.is,"66° 4' 12"" N","23° 7' 26"" W",,Harbor,Small,,
1938,ISL,Keflavik,Port of Keflavik,Port of Keflavik-Njardvik-Helguvik (PKN),"Vikurbraut 11
Keflavik IS-230
Iceland",354 421 4575,354 421 2666,,,www.randburg.com/is/portkefl,"64° 0' 10"" N","22° 33' 4"" W",ISKEF,Harbor,Small,,
1939,ISL,Kopasker,Port of Kopasker,,"Kopasker
Iceland",,,,,www.nordurthing.is/is/um-nordurthing/byggdarlogin/kopasker,"66° 17' 56"" N","16° 26' 44"" W",,Harbor,Small,,
1940,ISL,Landeyjahofn,Port of Landeyjahofn,,"Landeyjahofn
Iceland",,,,,landeyjahofn.is,"63° 31' 44"" N","20° 6' 55"" W",,Harbor,Very Small,,
1941,ISL,Midsandur,Port of Midsandur,,"Midsandur
Iceland",,,,,,"64° 23' 40"" N","21° 27' 15"" W",,Seaport,Small,,
1942,ISL,Neskaupstadur,Port of Neskaupstadur,Neskaupstadur Port Authority,"Egilsbraut 1
Neskaupstadur
Iceland",477-1333,477-1440,,nhofn@fjardabyggd.is,,"65° 8' 15"" N","13° 44' 17"" W",ISNES,Harbor,Small,,
1943,ISL,Njardvik,Port of Njardvik,Port of Keflavik-Njardvik-Helguvik (PKN),"Vikurbraut 11
Keflavik IS-230
Iceland",354 421 4575,354 421 2666,,,www.randburg.com/is/portkefl,"63° 59' 10"" N","22° 32' 13"" W",ISNJA,Harbor,Small,,
1944,ISL,Olafsfjordur,Olafsfjordur Harbor,,"Olafsfjordur
Iceland",,,,,,"66° 4' 29"" N","18° 38' 54"" W",,Harbor,Small,,
1945,ISL,Olafsvik,Port of Olafsvik,,"Olafsvik
Iceland",,,,,snb.is,"64° 53' 48"" N","23° 42' 11"" W",,Harbor,Small,,
1946,ISL,Patreksfjordur,Port of Patreksfjordur,,"Patreksfjordur
Iceland",,,,,,"65° 35' 52"" N","24° 0' 21"" W",,Harbor,Very Small,,
1947,ISL,Porlakshofn,Port of Porlakshofn,,"Porlakshofn
Iceland",,,,,,"63° 51' 37"" N","21° 22' 13"" W",,Harbor,Small,,
1948,ISL,Porshofn,Port of Porshofn,,"Porshofn
Iceland",,,,,,"66° 11' 45"" N","15° 20' 9"" W",,Harbor,Small,,
1949,ISL,Raufarhofn,Port of Raufarhofn,Raufarhofn Port Authority,"Adalbraut 2
Raufarhofn 675
Iceland",465 1151,465 1121,,skrifstofa@raufarhofn.is,www.raufarhofn.is,"66° 27' 23"" N","15° 56' 46"" W",ISRAU,Harbor,Small,,
1950,ISL,Reydarfjordur,Port of Reydarfjordur,,"Reydarfjordur
Iceland",,,,,,"65° 1' 52"" N","14° 13' 19"" W",,Harbor,Small,,
1951,ISL,Reykholar,Port of Reykholar,,"Reykholar
Iceland",,,,,,"65° 25' 30"" N","22° 12' 35"" W",,"Pier, Jetty or Wharf",Very Small,,
1952,ISL,Reykjavik,Port of Reykjavik,,"Harbour Building
Tryggvagata 17
Reykjavik 101
Iceland",354 552 8211,354 552 9880,,hofnin@rvk.is,www.reykjavik.is,"64° 8' 54"" N","21° 50' 26"" W",ISREY,Harbor,Small,,
1953,ISL,Rif,Port of Rif,,"Rif
Iceland",,,,,,"64° 55' 12"" N","23° 48' 17"" W",,Harbor,Small,,
1954,ISL,Sandgerdi,Port of Sandgerdi,,Iceland,423-7477,893-9077,,,www.skip.is/hafnaskra/hofn/17,"64° 2' 17"" N","22° 42' 57"" W",ISSAN,Harbor,Small,,
1955,ISL,Saudarkrokur,Saudarkrokur Harbor,,"Saudarkrokur
Iceland",,,,,,"65° 45' 26"" N","19° 38' 52"" W",,Harbor,Small,,
1956,ISL,Seydisfjordur,Port of Seydisfjordur,Seydisfjordur Port Authority,"Hafnargata 44
Seydisfjordur 710
Iceland",472-1424,472-1574,,,,"65° 15' 46"" N","14° 0' 24"" W",ISSEY,Harbor,Small,,
1957,ISL,Siglufjord,Port of Siglufjord,Siglufjord Port Authority,"	Havegur 58
Siglufjord 580
Iceland",467-1237,467-2038,,hofn@siglo.is,www.siglo.is,"66° 9' 1"" N","18° 54' 1"" W",,Harbor,Small,,
1958,ISL,Skagastrond,Port of Skagastrond,,"Tunbraut 1-3
Skagastrond 545
Iceland",452-2614,894-6007,,,,"65° 49' 24"" N","20° 18' 42"" W",ISSKA,Harbor,Small,,
1959,ISL,Stodhvarfjordur,Port of Stodhvarfjordur,Stodhvarfjordur Port Authority,"Austurbyggd
Hafnargotu 12
Faskrudsfjordur 750
Iceland",475 1323,475 1459,,,,"64° 49' 57"" N","13° 52' 31"" W",ISSTD,Harbor,Very Small,,
1960,ISL,Stokkseyri,Port of Stokkseyri,,"Stokkseyri
Iceland",,,,,stokkseyri.is,"63° 50' 8"" N","21° 3' 58"" W",,"Pier, Jetty or Wharf",Very Small,,
1961,ISL,Stykkisholmur,Port of Stykkisholmur,,"Stykkisholmur
Iceland",,,,,stykkisholmur.is,"65° 4' 43"" N","22° 43' 29"" W",,Harbor,Small,,
1962,ISL,Sudavik,Port of Sudavik,,"Sudavik
Iceland",,,,,sudavik.is,"66° 2' 12"" N","22° 59' 10"" W",,Harbor,Small,,
1963,ISL,Suoureyri,Port of Suoureyri,,"Suoureyri
Iceland",,,,,,"66° 7' 48"" N","23° 31' 27"" W",,Harbor,Small,,
1964,ISL,Svalbardseyri,Port of Svalbardseyri,,"Svalbardseyri
Iceland",,,,,,"65° 44' 31"" N","18° 5' 10"" W",,Harbor,Very Small,,
1965,ISL,Talknafjordur,Port of Talknafjordur,,"Talknafjordur
Iceland",,,,,,"65° 37' 32"" N","23° 49' 32"" W",,Harbor,Small,,
1966,ISL,Thingeyri,Port of Thingeyri,,"Thingeyri
Iceland",,,,,www.thingeyri.is,"65° 52' 38"" N","23° 29' 16"" W",,Harbor,Small,,
1967,ISL,Tiroilmyri,Port of Tiroilmyri,,"Tiroilmyri
Iceland",,,,,,"66° 6' 30"" N","22° 36' 44"" W",,Harbor,Very Small,,
1968,ISL,Vestmannaeyjar,Port of Vestmannaeyjar,,"Vestmannaeyjar
Iceland",481-3240,481-3241,,,,"63° 26' 43"" N","20° 16' 28"" W",,Harbor,Small,,
1969,ISL,Vogar,Port of Vogar,,"Vogar
Iceland",,,,,,"63° 59' 0"" N","22° 23' 47"" W",,Harbor,Very Small,,
1970,ISL,Vopnafjordur,Port of Vopnafjordur,Vopnafjordur Port Authority,"Vopnafjordur
Iceland",473-1299,473-1559,,hofn@vopnafjardarhreppur.is,www.vopnafjardarhreppur.is,"65° 45' 22"" N","14° 49' 14"" W",ISVPN,Harbor,Small,,
1980,IND,Alleppey,Port of Alleppey,Alleppey Port Authority,"Port Office
Alleppey
India",91 477 225 3213,,91 477 225 3213,,,"9° 29' 31"" N","76° 18' 59"" E",INALF,"Pier, Jetty or Wharf",Very Small,,
1981,IND,Arnala,Port of Arnala,,"Arnala, Maharashtra
India",,,,,,"19° 27' 35"" N","72° 44' 40"" E",,"Pier, Jetty or Wharf",Very Small,,
1982,IND,Azhikkal,Port of Azhikkal,Ports Department  Government of Kerala,"Vellayambalam
Trivandrum, Kerala 605033
India",91-471-324533,91-471-324842,,,,"11° 56' 38"" N","75° 18' 36"" E",INAZK,Harbor,Small,,
1984,IND,Belekeri,Port of Belekeri,,"The Director of Ports and IWT
Baithkol
Karwar, Karnataka 581302
India",91 838 221494,91 838 221488,,,,"14° 42' 28"" N","74° 15' 25"" E",INBLK,"Pier, Jetty or Wharf",Very Small,,
1985,IND,Beypore,Port of Beypore,Ports Department Government of Kerala,"Vellayambalam
Trivandrum, Kerala 605033
India",91-471-324533,91-471-324842,,,,"11° 39' 44"" N","75° 32' 56"" E",INBEY,Marina,Small,,
1986,IND,Bharuch,Port of Bharuch,,"Bharuch, Gujarat
India",,,,,,"21° 40' 33"" N","72° 32' 24"" E",,"Pier, Jetty or Wharf",Small,,
1987,IND,Bhavnagar,Port of Bhavnagar,Gujarat Maritime Board,"Sector 10-A, Opp. Air Force Station
Gandhinagar, Gujarat 382 010
India",079-23238346,079-23234703,,gmbad1@sancharnet.in,www.gmbports.org,"21° 46' 12"" N","72° 12' 34"" E",INBHU,"Pier, Jetty or Wharf",Very Small,,
1988,IND,Bheemunipatnam,Port of Bheemunipatnam,Bheemunipatnam Port Authority,"Port Conservator
Bheemunipatnam, Andhra Pradesh
India",,,,,,"17° 55' 31"" N","83° 29' 30"" E",INBHM,"Pier, Jetty or Wharf",Very Small,,
1989,IND,Calicut,Port of Calicut,Calicut Port Authority,"P O Box No. 1108
Calicut, Kerala 673 032
India",91 495 274604,91 495 274604,,,,"11° 15' 53"" N","75° 45' 51"" E",,Harbor,Small,,
1990,IND,Calingapatnam,Port of Calingapatnam,Calingapatnam Port Authority,"Port Office
Calingapatnam, Andhra Pradesh
India",,,,,,"18° 20' 36"" N","84° 7' 29"" E",INCAP,"Pier, Jetty or Wharf",Very Small,,
1991,IND,Cannanore,Port of Cannanore,Ports Department Government of Kerala,"Vellayambalam
Trivandrum, Kerala 605033
India",91-471-324533,91-471-324842,,,,"11° 51' 20"" N","75° 22' 28"" E",INCNN,Harbor,Small,,
1993,IND,Cocanada,Port of Cocanada,Cocanada Port,"Kakinada, Andhra Pradesh 533 007
India",91- 0884-373331,,,,,"16° 59' 51"" N","82° 19' 20"" E",,Off-Shore Terminal,Small,,
1995,IND,Coondapur,Port of Coondapur,Kundapur Port Authority,"Coondapur
Gangolli, Karnataka 576216
India",91 825 445072,91 838 221488,,,,"13° 38' 16"" N","74° 40' 55"" E",INCOO,River Port,Very Small,,
1996,IND,Cuddalore,Port of Cuddalore,Tamilnadu Port Department,"Marine House
Beach Road
Devanampattinam, Tamilnadu
India",91-4142-2025,,,,,"11° 42' 30"" N","79° 46' 39"" E",INCDL,Harbor,Small,,
1997,IND,Dahanu,Port of Dahanu,,"Dahanu, Maharashtra
India",,,,,,"19° 58' 13"" N","72° 42' 58"" E",,"Pier, Jetty or Wharf",Very Small,,
1998,IND,Dahej,Port of Dahej,Gujarat Maritime Board,"Sector 10-A, Opp. Air Force Station
Gandhinagar, Gujarat 382 010
India",079-23238346,079-23234703,,gmbad1@sancharnet.in,www.gmbports.org,"21° 39' 41"" N","72° 33' 45"" E",INDAH,"Pier, Jetty or Wharf",Small,,
1999,IND,Dhamra,Port of Dhamra,,"Dhamra
India",,,,,,"20° 47' 38"" N","86° 53' 54"" E",,"Pier, Jetty or Wharf",Small,,
2001,IND,Ennore,Port of Ennore,Ennore Port Ltd,"No.23, First Floor,
 P.T. Lee Chengalvaraya Naicker Maaligai,
Chennai 600 001
India",91-44-25251666,91-44-25251665,,info@epl.gov.in,www.ennoreport.gov.in,"13° 15' 48"" N","80° 20' 28"" E",INENR,Seaport,Small,,
2002,IND,Gangavaram,Port of Gangavaram,Gangavaram Port Limited,"Hansa Crest, 1st Floor,
Gangavaram Port with its deep draft and state-of-the-art cargo handling equ
Hyderabad, Andhra Pradesh 500 033
India",91 40 4434 9999,91 40 4434 9990,,port@gangavaram.com,www.gangavaram.com,"17° 37' 0"" N","83° 14' 0"" E",,Seaport,Small,,
2003,IND,Ghogha,Port of Ghogha,,"Ghogha, Gujarat
India",,,,,,"21° 41' 11"" N","72° 16' 48"" E",,"Pier, Jetty or Wharf",Very Small,,
2004,IND,Gopalpur,Port of Gopalpur,Gopalpur Port Project,"Arjnipali
Chatrapur, Orissa 761020
India",91-6811-62703,,,,,"19° 18' 12"" N","84° 57' 55"" E",INGPR,"Pier, Jetty or Wharf",Very Small,,
2006,IND,Honavar,Port of Honavar,Honavar Port Authority,"Honavar, Karanataka 581395
India",,,,,,"14° 16' 34"" N","74° 25' 52"" E",INHON,Harbor,Very Small,,
2007,IND,Jafrabad,Port of Jafrabad,Gujarat Maritime Board,"Sector 10-A, Opp. Air Force Station
Gandhinagar, Gujarat 382 010
India",079-23238346,079-23234703,,gmbad1@sancharnet.in,www.gmbports.org,"20° 52' 7"" N","71° 22' 45"" E",,Harbor,Small,,
2008,IND,Jakhau,Port of Jakhau,Gujarat Maritime Board,"Opp: Air Force Station
Gandhinagar, Gujarat 382043
India",91-2712-38346,02712-34703,,,www.gmbports.org,"23° 13' 54"" N","68° 36' 37"" E",INJAK,"Pier, Jetty or Wharf",Small,,
2012,IND,Karwar,Port of Karwar,The Director of Ports and IWT,"Baithkol
Karwar, Karnataka 581302
India",91 838 226342,91 838 221488,,,,"14° 48' 6"" N","74° 6' 58"" E",INKRW,Seaport,Small,,
2013,IND,Kasargode,Port of Kasargode,Ports Department Government of Kerala,"Vellayambalam
Trivandrum, Kerala 605033
India",91-471-324533,91-471-324842,,,,"12° 28' 32"" N","74° 59' 37"" E",,"Pier, Jetty or Wharf",Very Small,,
2015,IND,Krishnapatnam,Port of Krishnapatnam,Krishnapatnam Port Company Ltd.,"1259, Laxmi Towers, Road No.36,
Jubilee Hills
Hyderabad 500 033
India",91 40 2354 6563,91 40 2354 8243,,info@krishnapatnam.com,www.krishnapatnam.com,"14° 15' 0"" N","80° 7' 22"" E",INKRI,Seaport,Small,,
2016,IND,Machilipatnam,Port of Machilipatnam,"Department of Ports, Government of Andhra Pradesh","Near Beach Road
Kakinada, Andhra Pradesh 533003
India",91 8842 376129,91 8842 377055,,,www.andhraports.com,"16° 8' 42"" N","81° 10' 54"" E",,Harbor,Small,,
2018,IND,Malpe,Port of Malpe,Malpe Port Authority,"Deputy Port Conservator
Port Office
Malpe 576118
India",,,,,,"13° 20' 46"" N","74° 41' 55"" E",INMAL,Harbor,Small,,
2021,IND,Mangrol,Port of Mangrol,,"Mangrol, Gujarat
India",,,,,,"21° 6' 23"" N","70° 6' 4"" E",,Harbor,Small,,
2023,IND,Muldwarka,Muldwarka Harbor,,"Muldwarka, Gujarat
India",,,,,,"20° 46' 33"" N","70° 36' 31"" E",,Harbor,Small,,
2025,IND,Munambam,Port of Munambam,Government of Kerala,"Port officer, 1st line
Beach Road
Nagapatinam, Tamilnadu
India",91- 04365-42255,,,,,"10° 10' 46"" N","76° 10' 4"" E",,Harbor,Small,,
2027,IND,Nagapatinam,Port of Nagapatinam,Nagapattinam Port Authority,"Port officer, 1st line
Beach Road
Nagapatinam, Tamilnadu
India",91- 04365-42255,,,,,"10° 45' 34"" N","79° 51' 1"" E",INNPT,Seaport,Small,,
2029,IND,Neendakara,Port of Neendakara,Ports Department Government of Kerala,"Vellayambalam
Trivandrum, Kerala 605033
India",91-471-324533,91-471-324842,,,www.kerala.gov.in,"8° 52' 36"" N","76° 34' 32"" E",INNEE,Harbor,Small,,
2030,IND,Nizampatnam,Port of Nizampatnam,"Department of Ports, Government of Andhra Pradesh","Near Beach Road
Kakinada, Andhra Pradesh 533003
India",,,,,www.andhraports.com,"15° 53' 1"" N","80° 38' 24"" E",,Harbor,Small,,
2031,IND,Okha,Port of Okha,Gujarat Maritime Board,"Sector 10-A, Opp. Air Force Station
Gandhinagar, Gujarat 382 010
India",079-23238346,079-23234703,,gmbad1@sancharnet.in,www.gmbports.org,"22° 28' 19"" N","69° 4' 53"" E",INOKH,Seaport,Small,,
2032,IND,Panaji,Port of Panaji,Panaji Port Authority,"Port Office
Panaji Port
Panaji, Goa 403001
India",91 832 222 5070,91 832 242 1483,,,,"15° 29' 32"" N","73° 48' 58"" E",INPAN,Harbor,Small,,
2035,IND,Pondicherry,Port of Pondicherry,Pondicherry Port Authority,"No 1, Rue Dumas
Pondicherry 605001
India",91 413 233 7114,,,port@pon.nic.in,port.pon.nic.in,"11° 54' 51"" N","79° 49' 32"" E",INPNY,"Pier, Jetty or Wharf",Very Small,,
2036,IND,Ponnani,Port of Ponnani,Ports Department Government of Kerala,"Vellayambalam
Trivandrum, Kerala 605033
India",91-471-324533,91-471-324842,,,,"10° 47' 12"" N","75° 54' 59"" E",INPNN,Harbor,Small,,
2038,IND,Port Blair,Port Blair,,"Port Blair, Andaman Islands
India",,,,,,"11° 40' 20"" N","92° 43' 41"" E",,Harbor,Small,,
2039,IND,Ratnagiri,Port of Ratnagiri,Maharastra Maritime Board,"Indian Merchantile Chambers
14, R.K.Marg, Ballard Estate
Mumbai, Maharashtra 400038
India",91-22-2692409,022-2614331,,,,"17° 0' 7"" N","73° 16' 29"" E",INRTC,Seaport,Small,,
